medicationAID,medicationBID,ConflictCheck,severity
68081469,26857064,True,High
18511945,22485560,True,High
88068083,59157244,True,High
58920866,96027889,True,Low
74474752,53620130,True,Medium
88068083,77884265,True,Low
16107287,59375716,True,High
22485560,31049291,True,Medium
15005786,99897288,True,Low
84190053,99374169,True,Low
09814268,81048194,True,Medium
62839021,85254413,True,Low
39331910,65387906,True,High
68081469,70659904,True,Medium
07641069,92612840,True,Low
79575400,50543691,True,Medium
29603755,02208115,True,Medium
83542041,15183457,True,Medium
22825206,82306817,True,Medium
90138754,28249590,True,Medium
03841981,23933794,True,Medium
02001293,27042460,True,Medium
97019286,79956098,True,Low
28841218,77267331,True,Medium
63685600,74929255,True,High
65098432,43204456,True,Low
65936817,81782161,True,Low
44766316,92792253,True,Medium
44510940,92612840,True,High
50250105,40668042,True,Medium
30530593,90670372,True,Low
43456696,80732429,True,Low
64807247,27515607,True,Low
25672800,37298278,True,Medium
98326452,53690369,True,Medium
28027912,02001293,True,High
10242377,32532595,True,Medium
73950383,31065883,True,Medium
80732429,62633423,True,Low
39440816,12412712,True,Medium
94741217,59574941,True,High
92603968,16785730,True,Low
59734616,38038774,True,Medium
25465473,74902988,True,Low
26943983,94741217,True,High
08343655,69750169,True,Medium
62101244,04813825,True,Low
63926167,38464502,True,High
55307858,40342828,True,Medium
12725230,31967800,True,Medium
29463612,27892616,True,High
50864452,00881103,True,High
34115718,99796772,True,Medium
41782485,13996338,True,Medium
77937371,20176747,True,Medium
23933794,43171785,True,Medium
25071416,67427304,True,Low
58067906,17535967,True,High
58127194,18031667,True,Medium
12274358,95559043,True,Low
06401225,30530593,True,Low
81575555,81097978,True,Medium
31370289,32467875,True,Medium
02958981,06025070,True,High
57005245,90138754,True,Medium
97962854,73010467,True,High
75292430,92273910,True,High
68614533,32526059,True,Low
62278023,16929993,True,High
39935049,08343655,True,Medium
39672744,42260481,True,Medium
38710555,26943983,True,High
44142472,90844586,True,Medium
24774997,19732458,True,High
76073591,64369007,True,Low
79156690,24532585,True,Low
29353467,58322792,True,Low
77320959,84008321,True,Medium
83644866,29270628,True,Low
62749337,81714557,True,High
71320675,00881103,True,Low
65336988,63521946,True,Low
64340480,96535507,True,Medium
00859660,74462162,True,High
64369007,36515797,True,High
69747351,05715733,True,Low
85229368,52995144,True,High
98265682,13720157,True,High
16062494,77976028,True,Low
85229368,00758162,True,Low
24176867,05997933,True,High
52998562,12614665,True,High
97075509,37402760,True,Low
50015610,08047451,True,Medium
83200772,19725077,True,Medium
83094484,05134584,True,Medium
92245253,97066232,True,Low
50543691,93963876,True,High
39193855,65336988,True,Low
50083104,49960643,True,High
37653006,91278192,True,High
81983274,37792114,True,Medium
44575839,88370439,True,Medium
07015722,24494632,True,Medium
45864943,14323415,True,Medium
47244712,94857976,True,High
64887069,28693974,True,Low
39672744,35027392,True,Medium
87216989,90732729,True,Low
10647680,69145664,True,Medium
93153056,76968121,True,High
19286324,70861032,True,Medium
34620596,18800035,True,Medium
38710555,25996295,True,Medium
28249590,29832251,True,Low
69750169,73175584,True,Low
72937697,59734949,True,Medium
56548236,08793374,True,Low
26322777,56878568,True,High
57585753,88370439,True,Low
41128063,27554888,True,Low
50935230,18446537,True,High
67427304,65449632,True,Medium
01041665,66917579,True,High
65336988,77320959,True,Low
78289680,89455626,True,Low
68945163,27042460,True,High
34358414,12086493,True,Low
52041019,46178990,True,High
75613020,81706675,True,High
03933872,74462162,True,Low
72759909,47837375,True,Low
45588720,35651272,True,Medium
83083125,46655503,True,Low
57237027,78940441,True,High
25520512,56955447,True,High
36605045,64340480,True,Medium
03656769,57007351,True,Medium
79207664,76556034,True,Medium
59734949,04939481,True,High
08793374,64433795,True,Medium
17131289,18278978,True,Low
45588720,51154629,True,Medium
92738139,19329426,True,High
82517261,97385492,True,Low
24418066,03561873,True,Low
57870834,96106787,True,High
84579994,83083125,True,High
55411196,24084581,True,Low
30392676,94359944,True,High
44142472,33458845,True,High
56878568,68995730,True,High
04939481,66699871,True,Low
77093691,32526059,True,Low
06832686,14955374,True,Medium
92245253,48480032,True,High
78186726,06401225,True,High
45864943,58322792,True,High
52995144,49960643,True,High
13549220,40790326,True,High
25520512,51848637,True,High
92798882,19179549,True,Low
92603968,78351801,True,High
84579994,66602896,True,High
30462634,66770867,True,Medium
59478037,25747503,True,High
01611306,81097978,True,Medium
52718237,28360160,True,Low
85229368,11611842,True,High
80849092,87630216,True,Medium
25996295,17184615,True,Medium
18031667,04073182,True,Medium
75638179,05859446,True,Low
37557529,02319087,True,High
91905400,35013649,True,Low
54594353,82193792,True,Medium
26943983,83814855,True,Medium
72958204,34115718,True,High
96153677,94359944,True,Low
51453509,18278978,True,Medium
44575839,09693441,True,Low
30727591,62314755,True,Medium
21789957,71888651,True,Low
24221159,34115718,True,Medium
63648254,63926167,True,High
56450282,26686880,True,Medium
86136418,74622230,True,Low
88410998,48480032,True,Low
76853280,81291136,True,Medium
19286324,74556315,True,Medium
78278465,73010467,True,High
52918143,52998562,True,Medium
47452773,09740568,True,High
37557529,51245289,True,Low
10536911,57585753,True,High
76900489,96106787,True,Low
06446749,48595982,True,Medium
38837769,92792253,True,High
62278023,51463563,True,Medium
04573517,59682362,True,Low
86205855,81279812,True,Low
22058800,25465473,True,Low
51850989,08047451,True,Low
43275564,61042040,True,High
40681699,07029134,True,Low
98187089,92745152,True,High
65673347,35348535,True,Low
65936817,63308258,True,Low
85254413,34652957,True,Low
98209212,92273910,True,High
78516310,03872202,True,High
54869885,78516310,True,Medium
86712288,15344985,True,Low
72470872,39193855,True,Medium
29270628,16065280,True,High
54237948,24583272,True,Medium
27042460,72793875,True,Low
44208406,81168041,True,Low
74556315,91974557,True,Medium
77462835,06832686,True,High
14450574,09814268,True,High
66486094,59734616,True,High
56762130,77976028,True,High
92747555,80732429,True,High
43708466,73754546,True,Medium
85229368,86205855,True,Medium
98326452,17328856,True,Low
40668042,18061983,True,High
07934088,48348579,True,High
79804272,36597782,True,Low
92984293,01871922,True,Medium
54869885,86760519,True,High
58322792,69860781,True,High
11627846,47837375,True,High
61522028,30727591,True,High
34620596,07950481,True,Medium
24093800,22063171,True,Low
89455626,77993086,True,High
28954249,08197942,True,Low
59734616,18773286,True,High
22804533,81983274,True,High
57596972,14450574,True,Low
96027889,58322792,True,High
83449560,24532585,True,High
32218797,37791430,True,Low
00359070,65387906,True,Medium
72200310,52864342,True,High
69747351,02208115,True,Low
62972520,56679649,True,Medium
07015722,18800035,True,High
28401926,97241154,True,High
52386162,93153056,True,Low
40127585,07934088,True,Medium
79804272,39426451,True,High
94359944,81020981,True,Low
00640020,28375919,True,Medium
65449632,78351801,True,Medium
57007351,88068083,True,Low
08343655,86668690,True,Low
00359070,50083104,True,Medium
01438903,78646175,True,High
72470872,26588180,True,Low
17729145,66779904,True,High
58067906,95559043,True,Medium
54869885,14813602,True,Low
40619633,54237948,True,High
89895052,46178990,True,Low
07029134,46611086,True,High
17131289,75292430,True,High
07015722,81097978,True,Medium
58067906,34620596,True,High
64433795,94322178,True,Medium
91060908,55915069,True,Medium
38710555,05997933,True,High
53288880,07398759,True,High
37398779,70191557,True,Medium
97019286,51867193,True,Medium
03841981,12996141,True,Low
82193792,98671565,True,Low
56762130,62839021,True,Medium
48972091,03162827,True,High
48432133,81782161,True,High
73603222,21789957,True,Low
87457645,60059072,True,High
30550721,48348579,True,Low
93963876,30727591,True,Medium
13720157,01041665,True,Medium
10586315,46611086,True,Medium
53690369,23933794,True,High
57536908,00881103,True,Low
78403744,09807427,True,Low
44142472,15862515,True,Medium
72332721,98510729,True,Medium
47708589,38535214,True,Medium
71320675,53674640,True,Medium
84008321,43991336,True,High
83644866,06025070,True,High
28954249,00359070,True,Medium
15109417,48972091,True,Low
56548236,08343655,True,High
28401926,92612840,True,Medium
30550721,78278465,True,Medium
93153056,30727591,True,Medium
94857976,14323415,True,Low
89476806,15381080,True,High
83828138,78186726,True,High
07398759,38259378,True,Medium
05949522,40790326,True,Medium
46607959,97075509,True,Medium
74462162,28841218,True,Medium
73763243,59734949,True,Medium
16062494,88410998,True,High
00881103,43708466,True,High
75960661,94458876,True,Medium
15344985,58849015,True,High
26948218,83653144,True,Medium
78289680,19549196,True,High
57596972,29603755,True,Low
82117665,16748588,True,Medium
01679326,48588261,True,Medium
12725230,85260956,True,High
64472348,12272463,True,Medium
86760519,17100625,True,Low
96027889,24093800,True,Medium
28115039,59375716,True,High
16107287,82231838,True,Low
76135723,60082664,True,Medium
83914635,37047298,True,Low
73754546,90718505,True,Low
04939481,16929993,True,High
37047298,28027912,True,Low
59682362,76556034,True,High
66346313,29398450,True,Low
